FROM,TO,R,X,B,STATUS,TAP
1,2,0.000328,0.0007871999999999999,9.210896e-07,1.0,1
2,3,0.000161,0.00038639999999999996,4.5212020000000004e-07,1.0,1
3,4,0.00026000000000000003,0.000624,7.30132e-07,1.0,1
4,5,0.0012615,0.0030275999999999996,1.4831876e-06,1.0,1
5,6,0.01757,0.020579999999999998,9.8287e-07,1.0,1
6,7,0.16104,0.082016,6.17804e-07,1.0,1
7,8,0.18102249999999998,0.09219749999999999,6.669475e-07,1.0,1
8,9,0.0754196,0.038446,1.4426248e-06,1.0,1
9,10,0.015036499999999998,0.0076555,4.282505e-07,1.0,1
10,11,0.58149,0.19219699999999998,9.96911e-07,1.0,1
11,12,0.1699776,0.0562052,1.6013488e-06,1.0,1
12,13,0.42684,0.14106,8.4246e-07,1.0,1
13,14,0.4635,0.15300000000000002,6.31845e-07,1.0,1
14,15,0.47084400000000004,0.15559499999999998,8.380482e-07,1.0,1
15,16,0.33327,0.11012400000000001,5.55534e-07,1.0,1
16,17,0.0568174,0.018785,4.0578489999999996e-07,1.0,1
17,18,0.23999040000000002,0.0793558,9.000281e-07,1.0,1
18,19,0.0025098000000000004,0.0008544000000000001,7.497894000000001e-07,1.0,1
19,20,0.2499588,0.0826329,1.0713283e-06,1.0,1
20,21,0.3466476,0.11357400000000001,2.3111486e-06,1.0,1
21,22,0.1684088,0.0556597,9.160926000000001e-07,1.0,1
22,23,0.0062580000000000005,0.0020562,7.883292e-07,1.0,1
23,24,0.058866999999999996,0.019462,5.19517e-07,1.0,1
24,25,0.0734156,0.024274,2.976692e-07,1.0,1
25,26,0.1767168,0.05841,4.385352e-07,1.0,1
26,27,0.2736854,0.0904606,1.2440326e-06,1.0,1
27,28,0.1484324,0.0490204,1.5924774e-06,1.0,1
4,29,0.000506,0.001242,1.827695e-07,1.0,1
29,30,0.024704,0.060409000000000004,7.172652000000001e-07,1.0,1
30,31,0.192933,0.0637775,7.708105e-07,1.0,1
31,32,0.028922399999999997,0.009558399999999998,5.784891999999999e-07,1.0,1
32,33,0.6398729999999999,0.21146800000000002,2.5596743e-06,1.0,1
33,34,0.4807469999999999,0.1613568,1.0647485999999998e-06,1.0,1
34,35,0.881328,0.2913336,9.588312000000001e-07,1.0,1
35,36,0.47905000000000003,0.1583725,6.03915e-07,1.0,1
4,37,0.001518,0.0037259999999999997,4.844144999999999e-07,1.0,1
37,38,0.025920000000000002,0.06338250000000001,5.686605e-07,1.0,1
38,39,0.0740259,0.08646899999999999,1.1172779e-06,1.0,1
39,40,0.0184528,0.021548499999999998,1.0705052e-06,1.0,1
40,41,0.0012779999999999998,0.001491,9.96911e-07,1.0,1
41,42,0.21630509999999997,0.2527173,4.170177e-07,1.0,1
42,43,0.58435,0.6829355,2.6467285e-06,1.0,1
43,44,0.014268,0.0166344,4.886268e-07,1.0,1
44,45,0.0058328,0.0073544,1.1181223999999999e-06,1.0,1
45,46,0.039203999999999996,0.049428,5.05476e-07,1.0,1
46,47,0.0009764999999999999,0.0013019999999999998,1.9135059999999997e-06,1.0,1
5,48,0.0025329999999999997,0.006258,1.0460545e-06,1.0,1
48,49,0.1056091,0.2585003,2.1886276000000003e-06,1.0,1
49,50,0.38485440000000004,0.9416848,1.8646448000000002e-06,1.0,1
50,51,0.007397999999999999,0.018099,1.50912e-07,1.0,1
9,52,0.0150336,0.0076626,2.716416e-07,1.0,1
52,53,0.013276,0.004456,6.7072e-08,1.0,1
10,54,0.17191199999999998,0.0875368,1.6566784e-06,1.0,1
54,55,0.040600000000000004,0.020680000000000004,3.5272e-07,1.0,1
55,56,0.1997926,0.10172409999999998,1.2398108e-06,1.0,1
56,57,0.1707491,0.08698310000000001,1.0705052e-06,1.0,1
57,58,1.1289,0.37892699999999996,1.252156e-06,1.0,1
58,59,0.23275889999999996,0.078111,5.237892e-07,1.0,1
59,60,0.5734170000000001,0.189631,3.324386e-06,1.0,1
60,61,0.13436279999999998,0.0407856,4.886268e-07,1.0,1
61,62,0.32175499999999996,0.163889,1.0630912e-06,1.0,1
62,63,0.035064,0.017856,5.05476e-07,1.0,1
63,64,0.157325,0.080073,2.016147e-06,1.0,1
64,65,0.5293225,0.2696155,1.555980925e-05,1.0,1
65,66,1.291881,0.6579782000000001,2.1886276000000003e-06,1.0,1
12,67,0.2671936,0.08114080000000001,2.3420608e-06,1.0,1
67,68,0.0046436,0.0013832,2.0635022199999998e-05,1.0,1
13,69,0.1197828,0.039592800000000004,3.3834753e-06,1.0,1

