NODES,Tb,PD,QD,Pct,Ict,Zct
1,1,0,0,1,0,0
2,0,387.09,254.3625,1,0,0
3,0,387.09,254.3625,1,0,0
4,0,387.09,254.3625,1,0,0
5,0,387.09,254.3625,1,0,0
6,0,95.931,66.9375,1,0,0
7,0,387.09,254.3625,1,0,0
8,0,387.09,254.3625,1,0,0
9,0,387.09,254.3625,1,0,0
10,0,22.7205,13.3875,1,0,0
11,0,387.09,254.3625,1,0,0
12,0,230.571,149.94,1,0,0
13,0,121.176,80.325,1,0,0
14,0,121.176,80.325,1,0,0
15,0,121.176,80.325,1,0,0
16,0,22.7205,13.3875,1,0,0
17,0,387.09,254.3625,1,0,0
18,0,387.09,254.3625,1,0,0
19,0,387.09,254.3625,1,0,0
20,0,387.09,254.3625,1,0,0
21,0,387.09,254.3625,1,0,0
22,0,387.09,254.3625,1,0,0
23,0,387.09,254.3625,1,0,0
24,0,387.09,254.3625,1,0,0
25,0,387.09,254.3625,1,0,0
26,0,387.09,254.3625,1,0,0
27,0,230.571,151.725,1,0,0
28,0,126.225,85.68,1,0,0
29,0,126.225,85.68,1,0,0
30,0,126.225,85.68,1,0,0
31,0,95.931,66.9375,1,0,0
32,0,95.931,66.9375,1,0,0
33,0,95.931,66.9375,1,0,0
34,0,95.931,66.9375,1,0,0
35,0,121.176,80.325,1,0,0
36,0,95.931,66.9375,1,0,0
37,0,387.09,254.3625,1,0,0
38,0,230.571,149.94,1,0,0
39,0,95.931,66.9375,1,0,0
40,0,387.09,254.3625,1,0,0
41,0,126.225,85.68,1,0,0
42,0,22.7205,13.3875,1,0,0
43,0,22.7205,13.3875,1,0,0
44,0,126.225,85.68,1,0,0
45,0,387.09,254.3625,1,0,0
46,0,387.09,254.3625,1,0,0
47,0,121.176,80.325,1,0,0
48,0,126.225,85.68,1,0,0
49,0,387.09,254.3625,1,0,0
50,0,230.571,151.725,1,0,0
51,0,387.09,254.3625,1,0,0
52,0,387.09,254.3625,1,0,0
53,0,126.225,85.68,1,0,0
54,0,387.09,254.3625,1,0,0
55,0,387.09,254.3625,1,0,0
56,0,387.09,254.3625,1,0,0
57,0,95.931,66.9375,1,0,0
58,0,387.09,254.3625,1,0,0
59,0,387.09,254.3625,1,0,0
60,0,387.09,254.3625,1,0,0
61,0,95.931,66.9375,1,0,0
62,0,230.571,151.725,1,0,0
63,0,95.931,66.9375,1,0,0
64,0,387.09,254.3625,1,0,0
65,0,126.225,85.68,1,0,0
66,0,387.09,254.3625,1,0,0
67,0,95.931,66.9375,1,0,0
68,0,95.931,66.9375,1,0,0
69,0,121.176,80.325,1,0,0
70,0,95.931,66.9375,1,0,0
71,0,95.931,66.9375,1,0,0
72,0,387.09,254.3625,1,0,0
73,0,387.09,254.3625,1,0,0
74,0,387.09,254.3625,1,0,0
75,0,387.09,254.3625,1,0,0
76,0,387.09,254.3625,1,0,0
77,0,126.225,85.68,1,0,0
78,0,387.09,254.3625,1,0,0
79,0,126.225,85.68,1,0,0
80,0,387.09,254.3625,1,0,0
81,0,387.09,254.3625,1,0,0
82,0,387.09,254.3625,1,0,0
83,0,230.571,149.94,1,0,0
84,0,387.09,254.3625,1,0,0
85,0,121.176,80.325,1,0,0
86,0,230.571,149.94,1,0,0
87,0,387.09,254.3625,1,0,0
88,0,387.09,254.3625,1,0,0
89,0,126.225,85.68,1,0,0
90,0,95.931,66.9375,1,0,0
91,0,387.09,254.3625,1,0,0
92,0,387.09,254.3625,1,0,0
93,0,95.931,66.9375,1,0,0
94,0,121.176,80.325,1,0,0
95,0,95.931,66.9375,1,0,0
96,0,387.09,254.3625,1,0,0
97,0,387.09,254.3625,1,0,0
98,0,387.09,254.3625,1,0,0
99,0,95.931,66.9375,1,0,0
100,0,387.09,254.3625,1,0,0
101,0,95.931,66.9375,1,0,0
102,0,230.571,149.94,1,0,0
103,0,387.09,254.3625,1,0,0
104,0,95.931,66.9375,1,0,0
105,0,121.176,80.325,1,0,0
106,0,387.09,254.3625,1,0,0
107,0,387.09,254.3625,1,0,0
108,0,387.09,254.3625,1,0,0
109,0,387.09,254.3625,1,0,0
110,0,387.09,254.3625,1,0,0
111,0,387.09,254.3625,1,0,0
112,0,121.176,80.325,1,0,0
113,0,387.09,254.3625,1,0,0
114,0,387.09,254.3625,1,0,0
115,0,387.09,254.3625,1,0,0
116,0,230.571,151.725,1,0,0
117,0,121.176,80.325,1,0,0
118,0,387.09,254.3625,1,0,0
119,0,230.571,151.725,1,0,0
120,0,95.931,66.9375,1,0,0
121,0,387.09,254.3625,1,0,0
122,0,95.931,66.9375,1,0,0
123,0,387.09,254.3625,1,0,0
