FROM,TO,R,X,B,STATUS,TAP
1,2,0.01645,0.00415,0.0,1.0,1
2,3,0.02096,0.0054,0.0,1.0,1
2,4,0.02096,0.0027,0.0,1.0,1
2,8,0.01048,0.004399999999999999,0.0,1.0,1
4,5,0.0262,0.0045,0.0,1.0,1
4,6,0.0131,0.0036,0.0,1.0,1
6,7,0.03144,0.00225,0.0,1.0,1
8,9,0.01645,0.0043,0.0,1.0,1
9,13,0.0262,0.0009,0.0,1.0,1
9,10,0.01495,0.00473,0.0,1.0,1
9,14,0.00524,0.0027,0.0,1.0,1
10,15,0.03144,0.00473,0.0,1.0,1
14,35,0.01495,0.0027,0.0,1.0,1
14,19,0.01572,0.0027,0.0,1.0,1
14,118,0.02096,0.0018,0.0,1.0,1
15,12,0.01645,0.0036,0.0,1.0,1
15,11,0.02096,0.0027,0.0,1.0,1
16,17,0.01645,0.0027,0.0,1.0,1
16,18,0.01572,0.0045,0.0,1.0,1
19,20,0.01495,0.0054,0.0,1.0,1
19,22,0.03144,0.0048000000000000004,0.0,1.0,1
19,117,0.01572,0.0027,0.0,1.0,1
20,21,0.03144,0.00225,0.0,1.0,1
22,23,0.01572,0.0027,0.0,1.0,1
22,24,0.01572,0.0036,0.0,1.0,1
24,25,0.02079,0.0018,0.0,1.0,1
24,26,0.01572,0.0036,0.0,1.0,1
26,27,0.03144,0.0018,0.0,1.0,1
26,29,0.01572,0.0045,0.0,1.0,1
27,28,0.01572,0.0027,0.0,1.0,1
27,32,0.01572,0.0027,0.0,1.0,1
28,34,0.01645,0.0018,0.0,1.0,1
29,30,0.01495,0.0048000000000000004,0.0,1.0,1
30,31,0.0262,0.00225,0.0,1.0,1
31,116,0.01572,0.0036,0.0,1.0,1
32,33,0.02096,0.0048000000000000004,0.0,1.0,1
35,16,0.01048,0.0018,0.0,1.0,1
36,37,0.02096,0.0027,0.0,1.0,1
36,41,0.0262,0.0027,0.0,1.0,1
37,38,0.01572,0.00225,0.0,1.0,1
37,39,0.01572,0.0054,0.0,1.0,1
39,40,0.01645,0.0018,0.0,1.0,1
41,42,0.02096,0.0036,0.0,1.0,1
41,43,0.03144,0.0027,0.0,1.0,1
43,44,0.02096,0.0045,0.0,1.0,1
43,45,0.01048,0.00415,0.0,1.0,1
45,46,0.01048,0.0018,0.0,1.0,1
45,48,0.0262,0.0036,0.0,1.0,1
46,47,0.0189,0.0027,0.0,1.0,1
48,49,0.0117,0.00225,0.0,1.0,1
48,50,0.01645,0.0048000000000000004,0.0,1.0,1
50,51,0.02096,0.0018,0.0,1.0,1
51,52,0.01572,0.00225,0.0,1.0,1
53,54,0.0131,0.00415,0.0,1.0,1
118,53,0.01495,0.00225,0.0,1.0,1
54,55,0.01048,0.0045,0.0,1.0,1
55,56,0.01048,0.0043,0.0,1.0,1
55,58,0.02079,0.0054,0.0,1.0,1
56,57,0.0131,0.0054,0.0,1.0,1
58,59,0.0131,0.0048000000000000004,0.0,1.0,1
58,61,0.0117,0.004569999999999999,0.0,1.0,1
59,60,0.02079,0.0027,0.0,1.0,1
61,62,0.0131,0.00415,0.0,1.0,1
61,63,0.0189,0.0018,0.0,1.0,1
61,120,0.02096,0.0027,0.0,1.0,1
62,119,0.00524,0.00498,0.0,1.0,1
63,64,0.02096,0.004569999999999999,0.0,1.0,1
64,65,0.0262,0.0027,0.0,1.0,1
65,66,0.0131,0.0009,0.0,1.0,1
66,67,0.03144,0.0045,0.0,1.0,1
68,69,0.01073,0.0018,0.0,1.0,1
68,73,0.02096,0.0036,0.0,1.0,1
68,98,0.0117,0.004569999999999999,0.0,1.0,1
120,68,0.01048,0.0043,0.0,1.0,1
69,70,0.01794,0.0018,0.0,1.0,1
70,71,0.01572,0.0036,0.0,1.0,1
71,72,0.01572,0.00473,0.0,1.0,1
73,74,0.0117,0.0027,0.0,1.0,1
73,77,0.0189,0.0043,0.0,1.0,1
74,75,0.01645,0.0054,0.0,1.0,1
75,76,0.02079,0.0043,0.0,1.0,1
77,78,0.0117,0.0054,0.0,1.0,1
77,87,0.0262,0.0036,0.0,1.0,1
78,79,0.03144,0.00415,0.0,1.0,1
79,80,0.01495,0.0027,0.0,1.0,1
79,81,0.02096,0.004569999999999999,0.0,1.0,1
81,82,0.01048,0.00415,0.0,1.0,1
82,83,0.0262,0.004569999999999999,0.0,1.0,1
82,85,0.00524,0.0036,0.0,1.0,1
83,84,0.0189,0.0043,0.0,1.0,1
85,86,0.01048,0.0027,0.0,1.0,1
87,88,0.01048,0.0009,0.0,1.0,1
88,89,0.01572,0.0027,0.0,1.0,1
88,90,0.01048,0.00225,0.0,1.0,1
90,91,0.00524,0.004569999999999999,0.0,1.0,1
90,92,0.01572,0.004569999999999999,0.0,1.0,1
92,93,0.02096,0.0045,0.0,1.0,1
92,94,0.01495,0.00473,0.0,1.0,1
94,95,0.01495,0.0027,0.0,1.0,1
94,96,0.02079,0.0054,0.0,1.0,1
96,97,0.01572,0.0054,0.0,1.0,1
98,99,0.01572,0.0027,0.0,1.0,1
98,121,0.01572,0.0036,0.0,1.0,1
99,100,0.01572,0.0027,0.0,1.0,1
100,101,0.01572,0.004569999999999999,0.0,1.0,1
101,122,0.01572,0.0036,0.0,1.0,1
102,103,0.01645,0.00473,0.0,1.0,1
102,106,0.01572,0.0018,0.0,1.0,1
121,102,0.02096,0.0036,0.0,1.0,1
103,104,0.01572,0.004569999999999999,0.0,1.0,1
104,105,0.0262,0.00415,0.0,1.0,1
106,107,0.03144,0.004569999999999999,0.0,1.0,1
106,109,0.01048,0.00473,0.0,1.0,1
107,108,0.02096,0.0027,0.0,1.0,1
109,110,0.03144,0.00225,0.0,1.0,1
109,123,0.01794,0.0054,0.0,1.0,1
110,111,0.03144,0.0027,0.0,1.0,1
111,112,0.01048,0.0027,0.0,1.0,1
111,113,0.01048,0.0027,0.0,1.0,1
113,114,0.0189,0.0043,0.0,1.0,1
114,115,0.0189,0.00225,0.0,1.0,1
117,36,0.01572,0.0027,0.0,1.0,1
