FROM,TO,R,X,B,STATUS,TAP
1,2,0.09170406754218627,0.05557822275284016,1.15787964068417e-07,1.0,1
13,3,0.12596862232117462,0.0476044212260253,7.68994496728101e-08,1.0,1
6,13,0.19265715339813322,0.07280648238882942,1.1761047155118598e-07,1.0,1
3,4,0.19614218254239235,0.07412349921660177,1.197379602729721e-07,1.0,1
4,5,0.2956384833234336,0.11172384544199528,1.8047698109860776e-07,1.0,1
8,6,0.19265715339826356,0.07280648238887867,1.1761047155126555e-07,1.0,1
7,11,0.19611625315076933,0.0741137003186047,1.197221312838999e-07,1.0,1
12,7,0.19265061810419148,0.07280401265565377,1.1760648198220992e-07,1.0,1
8,9,0.12596862232117462,0.0476044212260253,7.68994496728101e-08,1.0,1
10,8,0.14577357386833786,0.05508885058977885,8.898968172195044e-08,1.0,1
2,10,0.10509257650973196,0.05085124669825739,9.746488950499334e-08,1.0,1
2,12,0.07250523738010702,0.04394256810915576,9.15470168940745e-08,1.0,1
12,16,0.1050863041875144,0.050848211703635994,9.7459072431969e-08,1.0,1
19,14,0.19614218254240132,0.07412349921660516,1.1973796027297757e-07,1.0,1
16,15,0.12596876817172464,0.04760447634396571,7.689953870948307e-08,1.0,1
16,17,0.12596869524624651,0.04760444878491874,7.689949419102258e-08,1.0,1
16,18,0.1050863041875144,0.050848211703635994,9.7459072431969e-08,1.0,1
18,20,0.14576487355042317,0.055085562678939,8.898437048136299e-08,1.0,1
22,19,0.14578227370083485,0.055092138317175965,8.899499266620733e-08,1.0,1
20,21,0.12596869524624651,0.04760444878491874,7.689949419102258e-08,1.0,1
20,24,0.1457648735504445,0.05508556267894706,8.898437048137601e-08,1.0,1
21,22,0.12596862232117462,0.0476044212260253,7.68994496728101e-08,1.0,1
22,23,0.13121723737148325,0.04958790947178146,8.010354606980082e-08,1.0,1
24,25,0.1926571533982474,0.07280648238887258,1.1761047155125569e-07,1.0,1
